PM2.5,PM10,NO2,CO,O3,AQI,Temperature,Humidity,WindSpeed,SolarRadiation,Pressure
12.2,18.8,13.6,0.223,38.0,106.0,26.5,88,8.7,0.0,1001.5
12.7,19.5,17.9,0.26,33.0,104.0,26.1,89,6.4,0.0,1001.9
12.9,19.7,24.0,0.313,27.0,102.0,26.1,89,4.7,4.0,1002.6
14.5,22.0,31.0,0.383,22.0,100.0,26.3,87,1.8,22.0,1002.7
16.9,25.4,34.3,0.433,22.0,98.0,26.9,83,0.5,64.0,1002.8
19.9,29.7,36.7,0.482,25.0,96.0,27.4,79,0.7,122.0,1002.5
22.5,33.3,37.6,0.522,37.0,96.0,28.2,76,5.9,194.0,1001.9
25.4,37.5,35.1,0.515,58.0,92.0,29.2,71,9.7,487.0,1001.0
28.3,41.7,30.8,0.488,86.0,88.0,30.0,69,12.9,724.0,1000.0
31.8,46.8,27.9,0.455,108.0,90.0,30.0,69,13.3,659.0,999.4
31.2,45.9,31.0,0.447,99.0,80.0,30.3,66,12.9,633.0,999.2
27.8,40.7,36.6,0.444,78.0,76.0,30.6,64,12.8,492.0,999.3
13.6,20.6,27.8,0.32,35.0,74.0,30.0,66,12.7,243.0,999.2
11.8,18.3,27.9,0.319,32.0,72.0,29.5,69,13.2,98.0,999.7
10.2,15.8,28.0,0.318,29.0,72.0,28.7,73,13.5,8.0,1000.4
10.8,16.6,27.9,0.316,25.0,70.0,28.2,77,12.3,0.0,1001.1
10.8,16.8,28.0,0.32,24.0,70.0,28.0,78,13.6,0.0,1001.5
13.1,20.2,28.2,0.325,24.0,68.0,27.9,79,14.4,0.0,1001.6
13.0,20.4,26.4,0.313,26.0,68.0,27.6,79,15.3,0.0,1001.5
11.8,18.7,21.5,0.272,31.0,66.0,27.6,79,16.2,0.0,1001.1
11.2,17.9,14.9,0.215,37.0,66.0,27.4,80,15.9,0.0,1000.6
10.5,16.9,7.8,0.154,44.0,66.0,27.1,81,15.2,0.0,1000.1
10.2,16.3,5.2,0.133,46.0,66.0,27.0,81,13.8,0.0,999.6
11.3,18.2,4.1,0.125,47.0,66.0,26.9,81,12.8,0.0,999.5
10.5,16.6,6.8,0.157,46.0,66.0,26.8,82,12.5,0.0,999.9
11.2,17.5,12.0,0.205,40.0,66.0,26.7,82,12.4,1.0,1000.4
11.7,18.0,19.5,0.273,32.0,66.0,27.0,80,12.4,61.0,1001.1
14.0,21.4,28.2,0.365,25.0,66.0,27.5,78,12.7,213.0,1001.4
17.5,26.5,32.3,0.43,24.0,64.0,28.3,74,14.4,434.0,1001.8
21.0,31.7,35.3,0.495,25.0,66.0,29.1,71,14.0,588.0,1001.4
23.3,35.3,37.2,0.552,35.0,66.0,30.1,67,15.0,749.0,1000.6
30.4,45.9,36.2,0.558,57.0,66.0,30.5,66,19.1,843.0,1000.1
37.3,56.2,33.6,0.54,87.0,70.0,30.6,65,19.0,823.0,999.4
40.2,60.5,30.5,0.501,113.0,98.0,30.8,64,17.8,832.0,998.9
37.0,56.0,29.4,0.455,109.0,92.0,30.8,63,17.7,692.0,998.5
29.0,44.1,28.5,0.397,93.0,74.0,30.6,64,16.9,515.0,998.5
19.8,31.8,27.8,0.304,49.0,70.0,30.4,64,14.6,336.0,998.5
17.6,28.5,28.5,0.304,42.0,72.0,30.0,66,14.7,147.0,999.0
15.8,25.4,29.5,0.304,32.0,72.0,29.5,69,14.7,18.0,999.4
15.1,24.4,29.7,0.302,23.0,74.0,29.1,71,13.0,0.0,1000.0
16.0,25.9,28.7,0.302,22.0,74.0,28.7,73,12.6,0.0,1000.7
16.7,27.0,27.0,0.301,24.0,74.0,28.5,74,13.3,0.0,1000.9
16.4,26.5,23.5,0.286,29.0,76.0,28.3,75,13.8,0.0,1000.5
16.2,26.5,19.2,0.253,34.0,76.0,28.2,75,13.3,0.0,1000.0
15.3,25.4,14.0,0.209,40.0,76.0,28.0,76,11.6,0.0,999.6
15.0,24.9,8.4,0.161,46.0,78.0,27.7,78,10.8,0.0,999.1
14.5,24.4,5.8,0.142,49.0,78.0,27.6,78,10.2,0.0,999.1
14.1,23.7,4.3,0.132,51.0,78.0,27.4,79,9.3,0.0,999.2
13.2,21.9,7.8,0.164,47.0,80.0,27.0,82,9.7,0.0,999.4
13.6,22.4,12.5,0.205,42.0,80.0,26.9,83,9.9,1.0,999.7
